Date,Price,Open,High,Low,Vol.,Change %
10/1/2015,347.41,324.65,349.84,310.92,1.17M,7.80%
9/1/2015,322.27,311.76,328.67,303.43,1.51M,2.64%
8/1/2015,313.99,352.02,352.82,295.55,1.14M,-10.66%
7/1/2015,351.48,332.98,351.48,317.81,1.34M,5.93%
6/1/2015,331.79,350.78,362.48,331.79,1.67M,-5.92%
5/1/2015,352.67,335.66,354.85,320.98,1.01M,5.52%
4/1/2015,334.22,325.1,347.02,321.43,1.53M,2.63%
3/1/2015,325.65,286.08,327.38,281.12,1.81M,13.89%
2/1/2015,285.93,298.18,298.72,277.75,1.25M,-4.03%
1/1/2015,297.93,290.54,300.41,275.22,1.98M,1.92%
12/1/2014,292.33,265.11,314.74,264.96,3.41M,9.49%
11/1/2014,266.99,245.38,267.24,238.33,547.22K,8.96%
10/1/2014,245.03,234.02,245.23,227.08,678.20K,4.37%
9/1/2014,234.76,258.81,260.79,231.05,841.91K,-9.59%
8/1/2014,259.65,254.99,262.63,251.72,203.34K,1.47%
7/1/2014,255.89,265.95,269.72,255.89,256.00K,-4.25%
6/1/2014,267.24,254.35,267.24,251.37,305.40K,3.65%
5/1/2014,257.82,251.87,258.27,248.3,215.79K,2.71%
4/1/2014,251.03,240.96,255.74,239.08,334.54K,4.78%
3/1/2014,239.57,230.95,241.46,227.23,354.19K,3.47%
2/1/2014,231.54,235.01,240.96,229.56,307.74K,-1.16%
1/1/2014,234.27,258.22,263.13,222.07,481.18K,-10.34%
12/1/2013,261.29,255.34,263.17,242.45,365.53K,2.53%
11/1/2013,254.85,250.38,255.74,244.04,328.60K,2.43%
10/1/2013,248.8,263.87,266.45,244.63,311.74K,-5.71%
9/1/2013,263.87,252.86,272.2,251.03,391.08K,4.89%
8/1/2013,251.57,253.95,262.58,240.96,285.41K,-0.67%
7/1/2013,253.26,246.66,262.78,243.14,364.12K,2.98%
6/1/2013,245.92,271.6,271.6,233.52,410.33K,-9.88%
5/1/2013,272.89,253.8,280.83,253.26,401.25K,7.46%
4/1/2013,253.95,267.83,276.11,245.72,490.77K,-5.45%
3/1/2013,268.58,253.11,269.62,252.96,493.17K,6.13%
2/1/2013,253.06,238.04,254.85,236.75,596.35K,6.58%
1/1/2013,237.44,226.09,243.09,222.27,711.16K,5.81%
12/1/2012,224.4,234.52,236.5,221.03,426.20K,-4.76%
11/1/2012,235.61,209.18,236.5,208.98,675.62K,12.82%
10/1/2012,208.83,207.84,219.05,205.96,688.22K,0.77%
9/1/2012,207.25,228.91,230.9,207.25,726.39K,-8.71%
8/1/2012,227.03,219.89,233.13,210.72,766.81K,3.29%
7/1/2012,219.79,241.51,242.2,217.16,908.69K,-8.50%
6/1/2012,240.22,261.79,265.31,239.38,997.82K,-7.40%
5/1/2012,259.41,268.73,277.5,252.86,815.85K,-2.11%
4/1/2012,265.01,251.87,267.74,241.8,903.76K,5.78%
3/1/2012,250.53,278.2,283.85,241.46,1.91M,-9.78%
2/1/2012,277.7,266.64,288.46,257.82,791.92K,5.40%
1/1/2012,263.47,228.42,266.74,226.24,773.89K,15.35%
12/1/2011,228.42,233.97,235.01,208.24,875.18K,-2.39%
11/1/2011,234.02,239.97,256.23,216.42,905.07K,-4.01%
10/1/2011,243.79,221.08,249.49,210.67,1.15M,8.86%
9/1/2011,223.96,263.77,270.21,219.94,1.56M,-15.09%
8/1/2011,263.77,238.38,267.29,208.74,2.32M,10.46%
7/1/2011,238.78,203.03,240.27,197.83,1.66M,18.10%
6/1/2011,202.19,178.09,204.27,177.2,2.23M,13.97%
5/1/2011,177.4,156.87,179.04,155.88,1.92M,13.09%
4/1/2011,156.87,155.14,158.66,147.26,777.81K,2.26%
3/1/2011,153.4,155.68,160.05,140.86,2.11M,-1.93%
2/1/2011,156.43,147.65,156.43,142.1,2.64M,7.02%
1/1/2011,146.16,155.24,161.68,141.35,1.50M,-5.96%
12/1/2010,155.43,147.16,165.95,142.1,3.30M,7.36%
11/1/2010,144.78,152.26,166.59,135.16,7.82M,-4.23%
10/1/2010,151.17,167.63,206.01,151.07,4.27M,-9.75%
9/1/2010,167.5,141.85,168.85,140.95,1.72M,17.13%
8/1/2010,143,131.85,150,131.8,2.14M,8.62%
7/1/2010,131.65,108.1,132.85,106.15,1.86M,20.84%
6/1/2010,108.95,107.05,114.35,105,1.66M,1.25%
5/1/2010,107.6,102,110.45,97.54,2.01M,8.00%
4/1/2010,99.63,102.9,103.5,97.53,1.04M,-3.13%
3/1/2010,102.85,99,105.95,98.88,1.20M,3.90%
2/1/2010,98.99,99.48,100.4,93.8,1.12M,-0.66%
1/1/2010,99.65,92.94,100.5,92,1.37M,6.79%
12/1/2009,93.31,95.5,98.68,91.8,1.07M,-1.47%
11/1/2009,94.7,94.1,99.95,92.52,1.23M,-0.09%
10/1/2009,94.79,100.15,101.1,94.29,1.47M,-6.01%
9/1/2009,100.85,102,102.95,97,1.57M,-2.42%
8/1/2009,103.35,106,106.3,98.65,1.30M,-1.99%
7/1/2009,105.45,99.5,106.7,92.29,1.96M,6.52%
6/1/2009,99,95.44,101,88.91,2.62M,4.58%
5/1/2009,94.66,101,104.1,94.5,2.11M,-6.08%
4/1/2009,100.79,86.2,103,84,3.46M,15.11%
3/1/2009,87.56,65.55,87.56,64.84,4.64M,30.39%
2/1/2009,67.15,78.14,83.6,65.66,4.29M,-14.89%
1/1/2009,78.9,100,104.65,75.01,2.70M,-21.10%
12/1/2008,100,99.08,111.66,94.14,3.22M,1.28%
11/1/2008,98.74,101.5,131.89,92.75,5.17M,-2.24%
10/1/2008,101,115,118.8,76.01,7.82M,-11.80%
9/1/2008,114.51,96.51,117,91.5,8.91M,17.74%
8/1/2008,97.26,101.01,107.47,92.21,4.64M,-5.10%
7/1/2008,102.49,99.66,105,86.03,7.89M,2.49%
6/1/2008,100,105.79,107.92,93.83,7.78M,-5.86%
5/1/2008,106.23,87.47,112.7,87.47,11.10M,22.48%
4/1/2008,86.73,78.51,88.74,74.51,7.62M,9.65%
3/1/2008,79.1,75.5,82,71.11,7.01M,1.85%
2/1/2008,77.66,67.89,84,67.16,8.48M,15.91%
1/1/2008,67,85.51,87.45,59.42,12.19M,-22.49%
12/1/2007,86.44,88.01,91.2,83.21,3.29M,-1.98%
11/1/2007,88.19,91.1,92.4,79.62,6.20M,-2.85%
10/1/2007,90.78,79.41,92.84,78.3,6.18M,15.03%
9/1/2007,78.92,80,80.79,76.75,5.64M,-0.32%
8/1/2007,79.17,73.1,86,70,11.71M,6.60%
7/1/2007,74.27,84.64,84.64,71.67,8.81M,-11.49%
6/1/2007,83.91,103.24,103.8,83.06,10.71M,-18.87%
5/1/2007,103.43,106.6,108.6,101.61,5.15M,-2.49%
4/1/2007,106.07,103.76,108.7,102.9,3.52M,2.40%
3/1/2007,103.58,98.13,107.5,94.2,5.33M,4.89%
2/1/2007,98.75,94.05,103.69,91.8,5.19M,5.22%
1/1/2007,93.85,95,96.9,91.2,4.19M,-0.95%
12/1/2006,94.75,82.4,97,81.6,4.09M,15.13%
11/1/2006,82.3,84.8,89.3,81,6.44M,-3.23%
10/1/2006,85.05,72.95,87.45,70.95,4.42M,16.67%
9/1/2006,72.9,66.2,74.2,63.8,1.93M,10.12%
8/1/2006,66.2,64.25,67.5,61.85,1.40M,2.00%
7/1/2006,64.9,69,69.2,63.25,1.97M,-6.15%
6/1/2006,69.15,63.87,69.55,63.03,3.95M,7.43%
5/1/2006,64.37,67.53,67.83,59.4,3.53M,-5.06%
4/1/2006,67.8,69.27,70.33,65.5,3.64M,-2.49%
3/1/2006,69.53,70.33,72.6,69.03,2.32M,-0.57%
2/1/2006,69.93,70.33,71.67,67.6,2.03M,-1.05%
1/1/2006,70.67,70.43,72.53,68.5,1.56M,0.34%
